,name,posts,followers,following,likes,comments,description,date,img_src,post_url
0,Carlington Coffee House,100,"1,034",661,80,7.0,New Snack Alert!! Spinach Feta Danish with a flaky crust from our friends,2020-08-28T12:03:46.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/55776954_2531243907102988_2257601352429469696_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=BprHmpovgSIAX-rWlb0&oh=d8f793e925947c679836daace35a9ce7&oe=5F763B76,https://www.instagram.com/p/CEbqticFhMN/
1,Carlington Coffee House,100,"1,034",661,177,5.0,"Heads up for the weekenders, we are now open 10AM - 4PM this Saturday and Sunday, and 9AM - 4PM afterwards 🏡",2020-08-26T12:14:34.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/55776954_2531243907102988_2257601352429469696_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=BprHmpovgSIAX-rWlb0&oh=d8f793e925947c679836daace35a9ce7&oe=5F763B76,https://www.instagram.com/p/CEWiW7zldOI/
2,Carlington Coffee House,100,"1,034",661,67,4.0,Ice cream locked & loaded for the weekend 🍦🏡!!,2020-08-21T14:08:04.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/55776954_2531243907102988_2257601352429469696_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=BprHmpovgSIAX-rWlb0&oh=d8f793e925947c679836daace35a9ce7&oe=5F763B76,https://www.instagram.com/p/CEJ3XztFgkS/
3,Carlington Coffee House,100,"1,034",661,56,,"<span class="""">Coffees and computers, the unspoken love story of our time ❤ <br>.<br>.<br>.<br>.<br><a class="" xil3i"" href=""/explore/tags/carlington/"" tabindex=""0"">#Carlington</a> <a class="" xil3i"" href=""/explore/tags/ottawa/"" tabindex=""0"">#ottawa</a> <a class="" xil3i"" href=""/explore/tags/myottawa/"" tabindex=""0"">#myottawa</a> <a class="" xil3i"" href=""/explore/tags/workfromhome/"" tabindex=""0"">#workfromhome</a> <a class="" xil3i"" href=""/explore/tags/coffeelovers/"" tabindex=""0"">#coffeelovers</a> <a class="" xil3i"" href=""/explore/tags/coffeefromhome/"" tabindex=""0"">#coffeefromhome</a> <a class="" xil3i"" href=""/explore/tags/nomorecafeteriacoffee/"" tabindex=""0"">#nomorecafeteriacoffee</a> <a class="" xil3i"" href=""/explore/tags/computer/"" tabindex=""0"">#computer</a> <a class="" xil3i"" href=""/explore/tags/computerlife/"" tabindex=""0"">#computerlife</a></span>",2020-08-18T11:54:58.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/55776954_2531243907102988_2257601352429469696_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=BprHmpovgSIAX-rWlb0&oh=d8f793e925947c679836daace35a9ce7&oe=5F763B76,https://www.instagram.com/p/CEB5wbVFEJj/
4,Carlington Coffee House,100,"1,034",661,90,6.0,"One latte, from our house to yours 🏡❤!!",2020-08-13T12:33:29.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/55776954_2531243907102988_2257601352429469696_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=BprHmpovgSIAX-rWlb0&oh=d8f793e925947c679836daace35a9ce7&oe=5F763B76,https://www.instagram.com/p/CD1GMLCF2GO/
5,Carlington Coffee House,100,"1,034",661,,,"<span class="""">Carlington Coffee House Patio ASMR 😄!<br>.<br>Huge thanks again to everyone who dropped off plants. The ground cherries are looking amazing 🌿🍅!<br>.<br>.<br>.<br><a class="" xil3i"" href=""/explore/tags/carlington/"" tabindex=""0"">#Carlington</a> <a class="" xil3i"" href=""/explore/tags/ottawa/"" tabindex=""0"">#ottawa</a> <a class="" xil3i"" href=""/explore/tags/myottawa/"" tabindex=""0"">#myottawa</a> <a class="" xil3i"" href=""/explore/tags/coffeeinottawa/"" tabindex=""0"">#coffeeinottawa</a> <a class="" xil3i"" href=""/explore/tags/coffeelover/"" tabindex=""0"">#coffeelover</a> <a class="" xil3i"" href=""/explore/tags/asmr/"" tabindex=""0"">#asmr</a> <a class="" xil3i"" href=""/explore/tags/relaxing/"" tabindex=""0"">#relaxing</a> <a class="" xil3i"" href=""/explore/tags/naturesounds/"" tabindex=""0"">#naturesounds</a> <a class="" xil3i"" href=""/explore/tags/gladitisntpeopleeating/"" tabindex=""0"">#gladitisntpeopleeating</a></span>",2020-08-10T12:18:43.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/55776954_2531243907102988_2257601352429469696_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=BprHmpovgSIAX-rWlb0&oh=d8f793e925947c679836daace35a9ce7&oe=5F763B76,https://www.instagram.com/p/CDtWG-RlYsC/
6,Carlington Coffee House,100,"1,034",661,61,,"<span class="""" title=""Edited"">Waking up with a steamy cup of the Guatemala this morning, now officially ready to start the day ☕🇬🇹.<br>.<br>If you would like to see any new origins or roasts in the shop let us know!<br>.<br>.<br>.<br>.<br><a class="" xil3i"" href=""/explore/tags/carlington/"" tabindex=""0"">#Carlington</a> <a class="" xil3i"" href=""/explore/tags/ottawa/"" tabindex=""0"">#ottawa</a> <a class="" xil3i"" href=""/explore/tags/ottawacoffee/"" tabindex=""0"">#ottawacoffee</a> <a class="" xil3i"" href=""/explore/tags/cafe/"" tabindex=""0"">#cafe</a> <a class="" xil3i"" href=""/explore/tags/coffeelovers/"" tabindex=""0"">#coffeelovers</a> <a class="" xil3i"" href=""/explore/tags/coffeetime/"" tabindex=""0"">#coffeetime</a> <a class="" xil3i"" href=""/explore/tags/morningroutine/"" tabindex=""0"">#morningroutine</a> <a class="" xil3i"" href=""/explore/tags/goodstart/"" tabindex=""0"">#goodstart</a> <a class="" xil3i"" href=""/explore/tags/steamypics/"" tabindex=""0"">#steamypics</a></span>",2020-08-06T12:02:53.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/55776954_2531243907102988_2257601352429469696_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=BprHmpovgSIAX-rWlb0&oh=d8f793e925947c679836daace35a9ce7&oe=5F763B76,https://www.instagram.com/p/CDjBH2GFU6z/
7,Carlington Coffee House,100,"1,034",661,53,,"<span class="""" title=""Edited"">NEW SUMMER DRINK FROM CCH 🌞❄!!<br>.<br>Official name of this one is Fizzle Tea, this is sweet apple and citrusey lemon mingling together in a refreshing fizzy beverage made with our <a class=""notranslate"" href=""/tealee_ottawa/"" tabindex=""0"">@tealee_ottawa</a> Lemongrass tea served over our <a class=""notranslate"" href=""/thecountybounty/"" tabindex=""0"">@thecountybounty</a> Apple Lemon soda 🍋🍏!!<br>.<br>.<br>.<br>.<br><a class="" xil3i"" href=""/explore/tags/carlington/"" tabindex=""0"">#Carlington</a> <a class="" xil3i"" href=""/explore/tags/ottawa/"" tabindex=""0"">#ottawa</a> <a class="" xil3i"" href=""/explore/tags/tea/"" tabindex=""0"">#tea</a> <a class="" xil3i"" href=""/explore/tags/teatime/"" tabindex=""0"">#teatime</a> <a class="" xil3i"" href=""/explore/tags/sodatea/"" tabindex=""0"">#sodatea</a> <a class="" xil3i"" href=""/explore/tags/tealovers/"" tabindex=""0"">#tealovers</a> <a class="" xil3i"" href=""/explore/tags/summerdrinks/"" tabindex=""0"">#summerdrinks</a> <a class="" xil3i"" href=""/explore/tags/summeronice/"" tabindex=""0"">#summeronice</a> <a class="" xil3i"" href=""/explore/tags/harrypotter/"" tabindex=""0"">#harrypotter</a> <a class="" xil3i"" href=""/explore/tags/orlordoftherings/"" tabindex=""0"">#orlordoftherings</a></span>",2020-08-04T12:13:03.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/55776954_2531243907102988_2257601352429469696_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=BprHmpovgSIAX-rWlb0&oh=d8f793e925947c679836daace35a9ce7&oe=5F763B76,https://www.instagram.com/p/CDd4snTlpn4/
8,Carlington Coffee House,100,"1,034",661,42,2.0,Please stay cool this long weekend 🌞🏡!!,2020-07-30T16:05:03.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/55776954_2531243907102988_2257601352429469696_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=BprHmpovgSIAX-rWlb0&oh=d8f793e925947c679836daace35a9ce7&oe=5F763B76,https://www.instagram.com/p/CDRbRaeF8Pu/
9,Carlington Coffee House,100,"1,034",661,56,2.0,Sometimes it just be like that...,2020-07-28T12:21:17.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/55776954_2531243907102988_2257601352429469696_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=BprHmpovgSIAX-rWlb0&oh=d8f793e925947c679836daace35a9ce7&oe=5F763B76,https://www.instagram.com/p/CDL4EyqlXAo/
