,name,posts,followers,following,likes,comments,description,date,img_src,post_url
0,Daisy the Golden,25,151,69,26,3.0,Toy nap. No shame.,2020-09-01T00:01:13.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/118146433_338083947324001_2391736376850115934_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=5EV8g96rnRgAX8ceRiK&oh=114e8daea89b55e4ac3e2b31b5213edb&oe=5F75CC69,https://www.instagram.com/p/CEkrM7fFZvS/
1,Daisy the Golden,25,151,69,48,2.0,Dog days of summer gorgeous in my hood lots to sniff ☀️,2020-08-31T11:16:07.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/118146433_338083947324001_2391736376850115934_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=5EV8g96rnRgAX8ceRiK&oh=114e8daea89b55e4ac3e2b31b5213edb&oe=5F75CC69,https://www.instagram.com/p/CEjTpMoFnE-/
2,Daisy the Golden,25,151,69,35,,"<span class="""">After rainwater drinks. The best <a class="" xil3i"" href=""/explore/tags/puppiesofinstagram/"" tabindex=""0"">#puppiesofinstagram</a> <a class="" xil3i"" href=""/explore/tags/dogsofinstagram/"" tabindex=""0"">#dogsofinstagram</a> <a class="" xil3i"" href=""/explore/tags/dogs/"" tabindex=""0"">#dogs</a> <a class="" xil3i"" href=""/explore/tags/monday/"" tabindex=""0"">#monday</a> <a class="" xil3i"" href=""/explore/tags/dailydaisy/"" tabindex=""0"">#dailydaisy</a> <a class="" xil3i"" href=""/explore/tags/puppies/"" tabindex=""0"">#puppies</a> <a class="" xil3i"" href=""/explore/tags/goldensoninstagram/"" tabindex=""0"">#goldensoninstagram</a> <a class="" xil3i"" href=""/explore/tags/goldensofinstagram/"" tabindex=""0"">#goldensofinstagram</a></span>",2020-08-31T11:13:04.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/118146433_338083947324001_2391736376850115934_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=5EV8g96rnRgAX8ceRiK&oh=114e8daea89b55e4ac3e2b31b5213edb&oe=5F75CC69,https://www.instagram.com/p/CEjTS4ilEsI/
3,Daisy the Golden,25,151,69,37,,"<span class="""">Saturday mood when the rain comes down. Drying out after a walk <a class="" xil3i"" href=""/explore/tags/dailydaisy/"" tabindex=""0"">#dailydaisy</a> <a class="" xil3i"" href=""/explore/tags/puppiesofinstagram/"" tabindex=""0"">#puppiesofinstagram</a> <a class="" xil3i"" href=""/explore/tags/dogsofinstagram/"" tabindex=""0"">#dogsofinstagram</a> <a class="" xil3i"" href=""/explore/tags/dogstagram/"" tabindex=""0"">#dogstagram</a> <a class="" xil3i"" href=""/explore/tags/dogs/"" tabindex=""0"">#dogs</a> <a class="" xil3i"" href=""/explore/tags/goldensofinstagram/"" tabindex=""0"">#goldensofinstagram</a> <a class="" xil3i"" href=""/explore/tags/goldens_ofinstagram/"" tabindex=""0"">#goldens_ofinstagram</a></span>",2020-08-29T12:26:32.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/118146433_338083947324001_2391736376850115934_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=5EV8g96rnRgAX8ceRiK&oh=114e8daea89b55e4ac3e2b31b5213edb&oe=5F75CC69,https://www.instagram.com/p/CEeSHLusm_0/
4,Daisy the Golden,25,151,69,48,2.0,This counts as crate sleeping in my books. Love the cool tiles in the mud room!,2020-08-28T15:14:20.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/118146433_338083947324001_2391736376850115934_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=5EV8g96rnRgAX8ceRiK&oh=114e8daea89b55e4ac3e2b31b5213edb&oe=5F75CC69,https://www.instagram.com/p/CEcAhYlMGFx/
5,Daisy the Golden,25,151,69,52,1.0,Every day is,2020-08-27T10:14:06.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/118146433_338083947324001_2391736376850115934_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=5EV8g96rnRgAX8ceRiK&oh=114e8daea89b55e4ac3e2b31b5213edb&oe=5F75CC69,https://www.instagram.com/p/CEY5XfEsDaQ/
6,Daisy the Golden,25,151,69,33,,"<span class="""">happy <a class="" xil3i"" href=""/explore/tags/internationaldogday/"" tabindex=""0"">#internationaldogday</a> from me and my grumpy brother Oscar! <a class="" xil3i"" href=""/explore/tags/puppiesofinstagram/"" tabindex=""0"">#puppiesofinstagram</a> <a class="" xil3i"" href=""/explore/tags/dogsofinstagram/"" tabindex=""0"">#dogsofinstagram</a> <a class="" xil3i"" href=""/explore/tags/dailydaisy/"" tabindex=""0"">#dailydaisy</a></span>",2020-08-26T19:49:56.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/118146433_338083947324001_2391736376850115934_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=5EV8g96rnRgAX8ceRiK&oh=114e8daea89b55e4ac3e2b31b5213edb&oe=5F75CC69,https://www.instagram.com/p/CEXWeG2M9Wm/
7,Daisy the Golden,25,151,69,36,1.0,The days are just packed. 10 weeks,2020-08-25T19:37:52.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/118146433_338083947324001_2391736376850115934_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=5EV8g96rnRgAX8ceRiK&oh=114e8daea89b55e4ac3e2b31b5213edb&oe=5F75CC69,https://www.instagram.com/p/CEUwS4mMSQ3/
8,Daisy the Golden,25,151,69,44,1.0,4 am wake up need to go out. Not going back into crate no fun people. Need to play for exactly 14 minutes then crash on the floor.  Good thing my people got the coffee going,2020-08-24T08:47:22.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/118146433_338083947324001_2391736376850115934_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=5EV8g96rnRgAX8ceRiK&oh=114e8daea89b55e4ac3e2b31b5213edb&oe=5F75CC69,https://www.instagram.com/p/CERBDpOMK_g/
9,Daisy the Golden,25,151,69,38,2.0,Summer’s not over,2020-08-22T19:44:50.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/118146433_338083947324001_2391736376850115934_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=5EV8g96rnRgAX8ceRiK&oh=114e8daea89b55e4ac3e2b31b5213edb&oe=5F75CC69,https://www.instagram.com/p/CENCtSFs6ry/
