,name,posts,followers,following,likes,comments,description,date,img_src,post_url
0,Gus the Golden🐾,496,45.5k,786,604,10,"Frens! It’s a v. special day. Not only is its my hoomans’ anniversary, but it’s",2020-08-26T19:16:40.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/30923479_1272250662908990_626457878185639936_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=PtsdVUIcraUAX9LVMzX&oh=d38021c562e901284c8d2b406d3c97e5&oe=5F77CEE6,https://www.instagram.com/p/CEXSqeTJDAD/
1,Gus the Golden🐾,496,45.5k,786,"1,358",14,hooman says vacation’s almost over 😭😕,2020-08-21T23:05:59.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/30923479_1272250662908990_626457878185639936_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=PtsdVUIcraUAX9LVMzX&oh=d38021c562e901284c8d2b406d3c97e5&oe=5F77CEE6,https://www.instagram.com/p/CEK07uLJSzm/
2,Gus the Golden🐾,496,45.5k,786,877,19,ocean life > other life. 🌊♥️,2020-08-15T23:00:46.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/30923479_1272250662908990_626457878185639936_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=PtsdVUIcraUAX9LVMzX&oh=d38021c562e901284c8d2b406d3c97e5&oe=5F77CEE6,https://www.instagram.com/p/CD7XkLQJR_X/
3,Gus the Golden🐾,496,45.5k,786,988,15,baby hooman goes back to daycare and I gets mommy hooman to myselfs?! I like dis!! 😃😍,2020-08-05T13:40:04.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/30923479_1272250662908990_626457878185639936_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=PtsdVUIcraUAX9LVMzX&oh=d38021c562e901284c8d2b406d3c97e5&oe=5F77CEE6,https://www.instagram.com/p/CDgncxyJWp0/
4,Gus the Golden🐾,496,45.5k,786,,15,every doggo needs gentle pats ❤️❤️,2020-07-06T23:06:12.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/30923479_1272250662908990_626457878185639936_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=PtsdVUIcraUAX9LVMzX&oh=d38021c562e901284c8d2b406d3c97e5&oe=5F77CEE6,https://www.instagram.com/p/CCUYXQrHZoJ/
5,Gus the Golden🐾,496,45.5k,786,890,16,"wif sunshine, swimmies, and my best fren; how could I be anyfing but happies?!? ♥️ ☀️",2020-06-06T15:46:18.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/30923479_1272250662908990_626457878185639936_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=PtsdVUIcraUAX9LVMzX&oh=d38021c562e901284c8d2b406d3c97e5&oe=5F77CEE6,https://www.instagram.com/p/CBGWMzwpEIw/
6,Gus the Golden🐾,496,45.5k,786,"1,373",19,C O T T A G E season: I stand at the readies. ☀️ ⛵️ 🐾,2020-05-27T11:16:58.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/30923479_1272250662908990_626457878185639936_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=PtsdVUIcraUAX9LVMzX&oh=d38021c562e901284c8d2b406d3c97e5&oe=5F77CEE6,https://www.instagram.com/p/CAsHbYjpBBu/
7,Gus the Golden🐾,496,45.5k,786,"1,227",13,when it feels like summer and dis means you spend half da days outside 🙌🏻❤️😄,2020-05-23T22:41:16.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/30923479_1272250662908990_626457878185639936_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=PtsdVUIcraUAX9LVMzX&oh=d38021c562e901284c8d2b406d3c97e5&oe=5F77CEE6,https://www.instagram.com/p/CAjCj8EpP2O/
8,Gus the Golden🐾,496,45.5k,786,"1,237",13,"little hooman, I always gonna protek you....or steal your snackos....🙄 but mostly I protek you 💙",2020-05-14T02:25:24.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/30923479_1272250662908990_626457878185639936_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=PtsdVUIcraUAX9LVMzX&oh=d38021c562e901284c8d2b406d3c97e5&oe=5F77CEE6,https://www.instagram.com/p/CAJsQvoJ3to/
9,Gus the Golden🐾,496,45.5k,786,"2,094",19,it haz NOT been a good morning. 😒,2020-04-30T13:53:52.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/30923479_1272250662908990_626457878185639936_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=PtsdVUIcraUAX9LVMzX&oh=d38021c562e901284c8d2b406d3c97e5&oe=5F77CEE6,https://www.instagram.com/p/B_m369apfkv/
