,name,posts,followers,following,likes,comments,description,date,img_src,post_url
0,Token CEO,379,10.3k,522,257,6.0,A Story in 4 Parts:,2020-09-01T02:47:14.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/91065407_615393279013287_5995856331846713344_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=3bAcd4FauzYAX8ZrL3p&oh=5e7d18babbe2e475caf699db69fe2447&oe=5F784BEB,https://www.instagram.com/p/CEk-M-VA0wa/
1,Token CEO,379,10.3k,522,,2.0,The Barstool Difference,2020-08-31T22:33:30.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/91065407_615393279013287_5995856331846713344_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=3bAcd4FauzYAX8ZrL3p&oh=5e7d18babbe2e475caf699db69fe2447&oe=5F784BEB,https://www.instagram.com/p/CEkhJOmg6ep/
2,Token CEO,379,10.3k,522,41,,"<span class="""">Tomorrow.</span>",2020-08-31T17:24:47.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/91065407_615393279013287_5995856331846713344_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=3bAcd4FauzYAX8ZrL3p&oh=5e7d18babbe2e475caf699db69fe2447&oe=5F784BEB,https://www.instagram.com/p/CEj91Z9gCeY/
3,Token CEO,379,10.3k,522,87,2.0,Is there such thing as a slow week? We don’t think so. Get ready for the week ahead at the link in bio,2020-08-30T23:12:07.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/91065407_615393279013287_5995856331846713344_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=3bAcd4FauzYAX8ZrL3p&oh=5e7d18babbe2e475caf699db69fe2447&oe=5F784BEB,https://www.instagram.com/p/CEiAyffAAIc/
4,Token CEO,379,10.3k,522,80,1.0,Missed last week’s episodes? Catch up today.,2020-08-30T19:51:02.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/91065407_615393279013287_5995856331846713344_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=3bAcd4FauzYAX8ZrL3p&oh=5e7d18babbe2e475caf699db69fe2447&oe=5F784BEB,https://www.instagram.com/p/CEhpxrSAx3p/
5,Token CEO,379,10.3k,522,,2.0,What kind of people do you surround yourself with?,2020-08-30T12:54:55.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/91065407_615393279013287_5995856331846713344_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=3bAcd4FauzYAX8ZrL3p&oh=5e7d18babbe2e475caf699db69fe2447&oe=5F784BEB,https://www.instagram.com/p/CEg5quGgCfy/
6,Token CEO,379,10.3k,522,,2.0,"Kevin Durant’s burner accounts aren’t going anywhere, anytime soon.",2020-08-29T17:47:44.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/91065407_615393279013287_5995856331846713344_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=3bAcd4FauzYAX8ZrL3p&oh=5e7d18babbe2e475caf699db69fe2447&oe=5F784BEB,https://www.instagram.com/p/CEe21GKAbOO/
7,Token CEO,379,10.3k,522,494,15.0,Who the fuck wants to be normal?,2020-08-29T13:54:33.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/91065407_615393279013287_5995856331846713344_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=3bAcd4FauzYAX8ZrL3p&oh=5e7d18babbe2e475caf699db69fe2447&oe=5F784BEB,https://www.instagram.com/p/CEecL33AF8X/
8,Token CEO,379,10.3k,522,,8.0,One Fucking Good Thing?,2020-08-28T19:15:49.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/91065407_615393279013287_5995856331846713344_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=3bAcd4FauzYAX8ZrL3p&oh=5e7d18babbe2e475caf699db69fe2447&oe=5F784BEB,https://www.instagram.com/p/CEcb-1TAwpW/
9,Token CEO,379,10.3k,522,,,"<span class="""">I love:<br><br>⚪️ it<br>🔘 that</span>",2020-08-28T17:28:11.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/91065407_615393279013287_5995856331846713344_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=3bAcd4FauzYAX8ZrL3p&oh=5e7d18babbe2e475caf699db69fe2447&oe=5F784BEB,https://www.instagram.com/p/CEcPv8qAoj1/
