,name,posts,followers,following,likes,comments,description,date,img_src,post_url
0,iscotchdotca,267,199,656,6,,"<span class="""">Reviewed! Cirka Gin375 Montréal Gin https://iscotch.ca/cirka-gin375-montreal-gin/ <a class="" xil3i"" href=""/explore/tags/review/"" tabindex=""0"">#review</a> <a class="" xil3i"" href=""/explore/tags/reviews/"" tabindex=""0"">#reviews</a> <a class="" xil3i"" href=""/explore/tags/ginreview/"" tabindex=""0"">#ginreview</a> <a class="" xil3i"" href=""/explore/tags/gin/"" tabindex=""0"">#gin</a> <a class="" xil3i"" href=""/explore/tags/botanicals/"" tabindex=""0"">#botanicals</a> <a class="" xil3i"" href=""/explore/tags/montreal/"" tabindex=""0"">#montreal</a> <a class="" xil3i"" href=""/explore/tags/quebec/"" tabindex=""0"">#quebec</a></span>",2020-08-29T17:47:38.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/24175193_370463926734559_6749091392523337728_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=KO_E40gSSikAX-quno_&oh=7d5ea8690eb499012eb55d50c7d2a868&oe=5F7886FC,https://www.instagram.com/p/CEe22_5F7EX/
1,iscotchdotca,267,199,656,15,1.0,Throwback Thursday! Connemara Peated Single Malt Irish Whiskey w/,2020-08-27T17:48:04.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/24175193_370463926734559_6749091392523337728_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=KO_E40gSSikAX-quno_&oh=7d5ea8690eb499012eb55d50c7d2a868&oe=5F7886FC,https://www.instagram.com/p/CEZtUcIl3RH/
2,iscotchdotca,267,199,656,10,1.0,"ADVENT WEEK 2! BENRINNES 11Y, CAMERONBRIDGE 27Y, CRAIGELLACHIE 10Y, FETTERCAIRN 11Y, GLEN ELGIN 12Y, GLENGOYNE 9Y & GLENTAUCHERS 10Y https://iscotch.ca/advent-week-2/",2020-08-23T02:10:00.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/24175193_370463926734559_6749091392523337728_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=KO_E40gSSikAX-quno_&oh=7d5ea8690eb499012eb55d50c7d2a868&oe=5F7886FC,https://www.instagram.com/p/CENuyX_Fq80/
3,iscotchdotca,267,199,656,10,2.0,Throwback Thursday! BattleScotch! Baker's 7y v Knob Creek 9y w/,2020-08-20T14:37:40.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/24175193_370463926734559_6749091392523337728_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=KO_E40gSSikAX-quno_&oh=7d5ea8690eb499012eb55d50c7d2a868&oe=5F7886FC,https://www.instagram.com/p/CEHV90MF8-v/
4,iscotchdotca,267,199,656,19,1.0,"I, Scotch https://iscotch.ca/i-scotch/",2020-08-15T19:15:46.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/24175193_370463926734559_6749091392523337728_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=KO_E40gSSikAX-quno_&oh=7d5ea8690eb499012eb55d50c7d2a868&oe=5F7886FC,https://www.instagram.com/p/CD690R7lvRQ/
5,iscotchdotca,267,199,656,11,,"<span class="""">Throwback Thursday! Hiram Walker Special Old Rye Whisky w/ <a class=""notranslate"" href=""/haroldsgrand/"" tabindex=""0"">@haroldsgrand</a> & <a class=""notranslate"" href=""/revansqi/"" tabindex=""0"">@revansqi</a> https://iscotch.ca/hiram-walker-special-old-rye-whisky-with-dan-ryan/ <a class="" xil3i"" href=""/explore/tags/tbt/"" tabindex=""0"">#tbt</a> <a class="" xil3i"" href=""/explore/tags/tbthursday/"" tabindex=""0"">#tbthursday</a> <a class="" xil3i"" href=""/explore/tags/tbthursdays/"" tabindex=""0"">#tbthursdays</a> <a class="" xil3i"" href=""/explore/tags/throwbackthursday/"" tabindex=""0"">#throwbackthursday</a> <a class="" xil3i"" href=""/explore/tags/throwbackthursdays/"" tabindex=""0"">#throwbackthursdays</a> <a class="" xil3i"" href=""/explore/tags/whiskey/"" tabindex=""0"">#whiskey</a> <a class="" xil3i"" href=""/explore/tags/rye/"" tabindex=""0"">#rye</a> <a class="" xil3i"" href=""/explore/tags/ryewhiskey/"" tabindex=""0"">#ryewhiskey</a> <a class="" xil3i"" href=""/explore/tags/canadian/"" tabindex=""0"">#canadian</a> <a class="" xil3i"" href=""/explore/tags/canada/"" tabindex=""0"">#canada</a> <a class="" xil3i"" href=""/explore/tags/plasticbottlerye/"" tabindex=""0"">#plasticbottlerye</a> <a class="" xil3i"" href=""/explore/tags/blend/"" tabindex=""0"">#blend</a> <a class="" xil3i"" href=""/explore/tags/realbad/"" tabindex=""0"">#realbad</a></span>",2020-08-13T20:37:26.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/24175193_370463926734559_6749091392523337728_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=KO_E40gSSikAX-quno_&oh=7d5ea8690eb499012eb55d50c7d2a868&oe=5F7886FC,https://www.instagram.com/p/CD19kszFbWx/
6,iscotchdotca,267,199,656,10,,"<span class="""">Reviewed! Two Bad Budweisers w/ <a class=""notranslate"" href=""/notmikesince91/"" tabindex=""0"">@notmikesince91</a> & <a class=""notranslate"" href=""/haroldsgrand/"" tabindex=""0"">@haroldsgrand</a> https://iscotch.ca/two-bad-budweisers-with-notmike-dan/ <a class="" xil3i"" href=""/explore/tags/review/"" tabindex=""0"">#review</a> <a class="" xil3i"" href=""/explore/tags/reviews/"" tabindex=""0"">#reviews</a> <a class="" xil3i"" href=""/explore/tags/beer/"" tabindex=""0"">#beer</a> <a class="" xil3i"" href=""/explore/tags/beerreview/"" tabindex=""0"">#beerreview</a> <a class="" xil3i"" href=""/explore/tags/lager/"" tabindex=""0"">#lager</a> <a class="" xil3i"" href=""/explore/tags/usa/"" tabindex=""0"">#usa</a> <a class="" xil3i"" href=""/explore/tags/bourbon/"" tabindex=""0"">#bourbon</a> <a class="" xil3i"" href=""/explore/tags/barrel/"" tabindex=""0"">#barrel</a> <a class="" xil3i"" href=""/explore/tags/aged/"" tabindex=""0"">#aged</a> <a class="" xil3i"" href=""/explore/tags/barrelaged/"" tabindex=""0"">#barrelaged</a> <a class="" xil3i"" href=""/explore/tags/gross/"" tabindex=""0"">#gross</a></span>",2020-08-08T18:30:35.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/24175193_370463926734559_6749091392523337728_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=KO_E40gSSikAX-quno_&oh=7d5ea8690eb499012eb55d50c7d2a868&oe=5F7886FC,https://www.instagram.com/p/CDo3FLNlij9/
7,iscotchdotca,267,199,656,17,1.0,Throwback Thursday! BattleScotch Glenlivet Edition w/,2020-08-06T17:53:10.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/24175193_370463926734559_6749091392523337728_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=KO_E40gSSikAX-quno_&oh=7d5ea8690eb499012eb55d50c7d2a868&oe=5F7886FC,https://www.instagram.com/p/CDjpNadFhOY/
8,iscotchdotca,267,199,656,19,,"<span class="""">Reviewed! Bowmore 25y ""Opportunity Cost"" <a class=""notranslate"" href=""/the_blackbirdbar/"" tabindex=""0"">@the_blackbirdbar</a> <a class=""notranslate"" href=""/donnellygroup/"" tabindex=""0"">@donnellygroup</a> https://iscotch.ca/bowmore-25y-opportunity-cost-the-blackbird/ <a class="" xil3i"" href=""/explore/tags/review/"" tabindex=""0"">#review</a> <a class="" xil3i"" href=""/explore/tags/reviews/"" tabindex=""0"">#reviews</a> <a class="" xil3i"" href=""/explore/tags/whisky/"" tabindex=""0"">#whisky</a> <a class="" xil3i"" href=""/explore/tags/whiskyreviews/"" tabindex=""0"">#whiskyreviews</a> <a class="" xil3i"" href=""/explore/tags/scotch/"" tabindex=""0"">#scotch</a> <a class="" xil3i"" href=""/explore/tags/scotchwhisky/"" tabindex=""0"">#scotchwhisky</a> <a class="" xil3i"" href=""/explore/tags/islay/"" tabindex=""0"">#islay</a> <a class="" xil3i"" href=""/explore/tags/scotland/"" tabindex=""0"">#scotland</a> <a class="" xil3i"" href=""/explore/tags/vancouver/"" tabindex=""0"">#vancouver</a> <a class="" xil3i"" href=""/explore/tags/singlemalt/"" tabindex=""0"">#singlemalt</a> <a class="" xil3i"" href=""/explore/tags/singlemaltscotch/"" tabindex=""0"">#singlemaltscotch</a>  <a class="" xil3i"" href=""/explore/tags/aglencairnglassfromarumbrand/"" tabindex=""0"">#aglencairnglassfromarumbrand</a></span>",2020-08-01T21:35:17.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/24175193_370463926734559_6749091392523337728_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=KO_E40gSSikAX-quno_&oh=7d5ea8690eb499012eb55d50c7d2a868&oe=5F7886FC,https://www.instagram.com/p/CDXKp7xlSTn/
9,iscotchdotca,267,199,656,19,,"<span class="""">Throwback Thursday! Aberfeldy 12y Single Malt Highland Scotch w/ <a class=""notranslate"" href=""/haroldsgrand/"" tabindex=""0"">@haroldsgrand</a> <a class=""notranslate"" href=""/revansqi/"" tabindex=""0"">@revansqi</a> & <a class=""notranslate"" href=""/pobric87/"" tabindex=""0"">@pobric87</a> https://iscotch.ca/aberfeldy-12y-with-dan-ryan-goran/ <a class="" xil3i"" href=""/explore/tags/review/"" tabindex=""0"">#review</a> <a class="" xil3i"" href=""/explore/tags/reviews/"" tabindex=""0"">#reviews</a> <a class="" xil3i"" href=""/explore/tags/scotch/"" tabindex=""0"">#scotch</a> <a class="" xil3i"" href=""/explore/tags/scotchreview/"" tabindex=""0"">#scotchreview</a> <a class="" xil3i"" href=""/explore/tags/scotchreviews/"" tabindex=""0"">#scotchreviews</a> <a class="" xil3i"" href=""/explore/tags/whisky/"" tabindex=""0"">#whisky</a> <a class="" xil3i"" href=""/explore/tags/whiskyreview/"" tabindex=""0"">#whiskyreview</a> <a class="" xil3i"" href=""/explore/tags/whiskyreviews/"" tabindex=""0"">#whiskyreviews</a> <a class="" xil3i"" href=""/explore/tags/highland/"" tabindex=""0"">#highland</a> <a class="" xil3i"" href=""/explore/tags/scotland/"" tabindex=""0"">#scotland</a> <a class="" xil3i"" href=""/explore/tags/scotchwhisky/"" tabindex=""0"">#scotchwhisky</a> <a class="" xil3i"" href=""/explore/tags/singlemalt/"" tabindex=""0"">#singlemalt</a> <a class="" xil3i"" href=""/explore/tags/tbt/"" tabindex=""0"">#tbt</a> <a class="" xil3i"" href=""/explore/tags/tbthursday/"" tabindex=""0"">#tbthursday</a> <a class="" xil3i"" href=""/explore/tags/tbthursdays/"" tabindex=""0"">#tbthursdays</a> <a class="" xil3i"" href=""/explore/tags/throwbackthursday/"" tabindex=""0"">#throwbackthursday</a> <a class="" xil3i"" href=""/explore/tags/throwbackthursdays/"" tabindex=""0"">#throwbackthursdays</a></span>",2020-07-30T14:12:06.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/24175193_370463926734559_6749091392523337728_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=KO_E40gSSikAX-quno_&oh=7d5ea8690eb499012eb55d50c7d2a868&oe=5F7886FC,https://www.instagram.com/p/CDROWKyl9mm/
