,name,posts,followers,following,likes,comments,description,date,img_src,post_url
0,kristen bell,"1,198",14.5m,555,,17.0,Error,2020-08-31T04:07:36.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/67168672_386762918643499_6636756175004106752_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=EZHqV1HDAtEAX8uTfNa&oh=c413ad958fc02993e2354b3719a5126d&oe=5F7846E9,https://www.instagram.com/p/CEiilbrnwig/
1,kristen bell,"1,198",14.5m,555,"351,064",16.0,Error,2020-08-29T18:11:57.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/67168672_386762918643499_6636756175004106752_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=EZHqV1HDAtEAX8uTfNa&oh=c413ad958fc02993e2354b3719a5126d&oe=5F7846E9,https://www.instagram.com/p/CEe5pIgMgBb/
2,kristen bell,"1,198",14.5m,555,,15.0,Error,2020-08-29T00:30:44.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/67168672_386762918643499_6636756175004106752_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=EZHqV1HDAtEAX8uTfNa&oh=c413ad958fc02993e2354b3719a5126d&oe=5F7846E9,https://www.instagram.com/p/CEc__lRHNNj/
3,kristen bell,"1,198",14.5m,555,,16.0,Error,2020-08-28T16:04:00.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/67168672_386762918643499_6636756175004106752_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=EZHqV1HDAtEAX8uTfNa&oh=c413ad958fc02993e2354b3719a5126d&oe=5F7846E9,https://www.instagram.com/p/CEcGKSPnuOS/
4,kristen bell,"1,198",14.5m,555,"332,540",14.0,Error,2020-08-28T06:29:56.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/67168672_386762918643499_6636756175004106752_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=EZHqV1HDAtEAX8uTfNa&oh=c413ad958fc02993e2354b3719a5126d&oe=5F7846E9,https://www.instagram.com/p/CEbEgkuMZHg/
5,kristen bell,"1,198",14.5m,555,"47,294",17.0,Error,2020-08-25T18:32:25.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/67168672_386762918643499_6636756175004106752_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=EZHqV1HDAtEAX8uTfNa&oh=c413ad958fc02993e2354b3719a5126d&oe=5F7846E9,https://www.instagram.com/p/CEUozehM57o/
6,kristen bell,"1,198",14.5m,555,"297,199",15.0,Error,2020-08-25T16:01:33.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/67168672_386762918643499_6636756175004106752_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=EZHqV1HDAtEAX8uTfNa&oh=c413ad958fc02993e2354b3719a5126d&oe=5F7846E9,https://www.instagram.com/p/CEUXiiDsfqk/
7,kristen bell,"1,198",14.5m,555,"388,399",17.0,Error,2020-08-25T04:37:11.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/67168672_386762918643499_6636756175004106752_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=EZHqV1HDAtEAX8uTfNa&oh=c413ad958fc02993e2354b3719a5126d&oe=5F7846E9,https://www.instagram.com/p/CETJOINs7JW/
8,kristen bell,"1,198",14.5m,555,,16.0,Error,2020-08-24T21:54:47.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/67168672_386762918643499_6636756175004106752_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=EZHqV1HDAtEAX8uTfNa&oh=c413ad958fc02993e2354b3719a5126d&oe=5F7846E9,https://www.instagram.com/p/CESbKAOHtr-/
9,kristen bell,"1,198",14.5m,555,"131,721",15.0,Error,2020-08-23T17:27:34.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/67168672_386762918643499_6636756175004106752_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=EZHqV1HDAtEAX8uTfNa&oh=c413ad958fc02993e2354b3719a5126d&oe=5F7846E9,https://www.instagram.com/p/CEPXyz-M7nZ/
10,kristen bell,"1,198",14.5m,555,,15.0,Error,2020-08-22T18:44:34.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/67168672_386762918643499_6636756175004106752_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=EZHqV1HDAtEAX8uTfNa&oh=c413ad958fc02993e2354b3719a5126d&oe=5F7846E9,https://www.instagram.com/p/CEM7y0oHcg2/
11,kristen bell,"1,198",14.5m,555,"794,386",14.0,Error,2020-08-21T22:21:24.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/67168672_386762918643499_6636756175004106752_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=EZHqV1HDAtEAX8uTfNa&oh=c413ad958fc02993e2354b3719a5126d&oe=5F7846E9,https://www.instagram.com/p/CEKv1GZsVd3/
12,kristen bell,"1,198",14.5m,555,,16.0,Error,2020-08-19T21:31:41.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/67168672_386762918643499_6636756175004106752_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=EZHqV1HDAtEAX8uTfNa&oh=c413ad958fc02993e2354b3719a5126d&oe=5F7846E9,https://www.instagram.com/p/CEFgTLFH0xw/
13,kristen bell,"1,198",14.5m,555,"115,112",15.0,Error,2020-08-19T17:47:09.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/67168672_386762918643499_6636756175004106752_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=EZHqV1HDAtEAX8uTfNa&oh=c413ad958fc02993e2354b3719a5126d&oe=5F7846E9,https://www.instagram.com/p/CEFG2sPs5CB/
14,kristen bell,"1,198",14.5m,555,"115,840",15.0,Error,2020-08-18T21:11:26.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/67168672_386762918643499_6636756175004106752_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=EZHqV1HDAtEAX8uTfNa&oh=c413ad958fc02993e2354b3719a5126d&oe=5F7846E9,https://www.instagram.com/p/CEC5cA-MWmP/
15,kristen bell,"1,198",14.5m,555,"208,567",15.0,Error,2020-08-18T16:12:45.000Z,https://instagram.fymy1-1.fna.fbcdn.net/v/t51.2885-19/s150x150/67168672_386762918643499_6636756175004106752_n.jpg?_nc_ht=instagram.fymy1-1.fna.fbcdn.net&_nc_ohc=EZHqV1HDAtEAX8uTfNa&oh=c413ad958fc02993e2354b3719a5126d&oe=5F7846E9,https://www.instagram.com/p/CECXQgfsTBe/
